Suspected,Infected,Recovered
-3621327.0,14165819.0,285770186.0
-1754781.0,9622051.0,283322711.0
3236801.0,14635587.0,290678212.0
2480954.0,5873263.0,287115755.0
2319006.0,8826425.0,293618492.0
123021.0,8915865.0,290598269.0
-241293.0,9081563.0,292552391.0
1335750.0,10673781.0,288000052.0
471171.0,7736166.0,288473547.0
-2540491.0,4105533.0,293386206.0
-388315.0,8212528.0,296763536.0
1484200.0,7843795.0,289107845.0
1045211.0,2413226.0,292725426.0
1712537.0,9687016.0,291340670.0
4512980.0,6255991.0,293489422.0
41081.0,5093942.0,297964558.0
3622920.0,3074414.0,295138130.0
4468866.0,2956710.0,295302649.0
-871280.0,731478.0,286853020.0
1536733.0,3279123.0,295359737.0
-360651.0,2876305.0,293587787.0
-1341168.0,-53368.0,297894448.0
1928623.0,-848035.0,292728091.0
4024051.0,-879189.0,295568831.0
2131591.0,6031636.0,298336511.0
1386571.0,849427.0,299649730.0
-3291631.0,4073430.0,299604283.0
7639020.0,246852.0,297219158.0
530450.0,503011.0,294663046.0
2403320.0,4253173.0,298610356.0
1990360.0,1112223.0,294652309.0
985628.0,1290719.0,300781722.0
1171255.0,1649675.0,296251879.0
2126620.0,-4323640.0,299039512.0
-1104144.0,4806226.0,293569706.0
-488309.0,1035644.0,301594617.0
4410248.0,3735658.0,301549259.0
123132.0,1260948.0,294511252.0
530045.0,5027022.0,296940962.0
4178091.0,396654.0,297435516.0
1181429.0,853696.0,296852148.0
2179804.0,-2629121.0,291759234.0
3483740.0,704492.0,303297603.0
2916635.0,2847258.0,300830632.0
1133869.0,-702486.0,294580707.0
-1111809.0,1833085.0,296356901.0
3300832.0,744642.0,301162212.0
1588314.0,-242266.0,298847639.0
5044290.0,-1931194.0,296647016.0
2821286.0,-4129480.0,299318825.0
-1805015.0,2790780.0,294309360.0
4360525.0,501516.0,298836991.0
1703817.0,1078690.0,296960303.0
1846770.0,2566386.0,294904478.0
2818500.0,-2145655.0,296368267.0
2389117.0,142807.0,295124363.0
4436127.0,2451735.0,297852885.0
1445166.0,498258.0,298812051.0
1090246.0,829501.0,293705428.0
4625132.0,3599722.0,299855446.0
1159371.0,-2348049.0,298991323.0
604529.0,3749344.0,296142799.0
1487132.0,-133618.0,298204383.0
4922092.0,4027538.0,301209091.0
-941519.0,-611461.0,301796189.0
