Suspected,Infected,Recovered,Death
7184852.0,799043.0,234658065.0,63646283.0
2009175.0,-1037567.0,229067667.0,61956281.0
1420748.0,1130433.0,228026234.0,58515992.0
6504245.0,-339938.0,230197822.0,68426431.0
3458838.0,2975217.0,234414379.0,60801955.0
2687789.0,-603686.0,229662819.0,58991570.0
7361533.0,-619395.0,232346579.0,60986442.0
2180959.0,1334132.0,230243186.0,61747501.0
5477865.0,3984704.0,232919472.0,62287493.0
4125559.0,-409889.0,234323166.0,61851456.0
6069500.0,2240479.0,233018911.0,61327720.0
4347306.0,2222617.0,229742996.0,60073449.0
1219611.0,3462261.0,235641110.0,64194388.0
4971698.0,1253286.0,233155382.0,61702189.0
5088451.0,3617741.0,231042771.0,61402296.0
5636613.0,-1404844.0,230730430.0,62350030.0
3181780.0,-210467.0,234779823.0,60776205.0
6968796.0,-549677.0,232915997.0,63527706.0
1660090.0,4279516.0,231181182.0,64048952.0
4622379.0,2420096.0,234608973.0,64763459.0
5556346.0,2506751.0,234758415.0,61370262.0
5231655.0,-1785350.0,234621276.0,59854177.0
4715326.0,2793379.0,231286545.0,62633565.0
4624753.0,-3225632.0,236008051.0,62703550.0
4970973.0,3458738.0,230378983.0,64663542.0
5924160.0,-140403.0,232095878.0,62352165.0
5545852.0,-469468.0,234491079.0,63960202.0
7645720.0,729228.0,230697909.0,64488182.0
3133826.0,-86740.0,235423785.0,63313889.0
5169676.0,712328.0,232133278.0,58405859.0
6900915.0,2465407.0,233617308.0,61527097.0
6434674.0,1043066.0,232066692.0,59297571.0
6161909.0,463897.0,229789956.0,63339107.0
5819797.0,-1477915.0,234477014.0,61050410.0
2103862.0,923944.0,231932992.0,60942259.0
7326258.0,656489.0,234156571.0,61639905.0
411698.0,4124722.0,231041900.0,64197638.0
7334482.0,907749.0,234981485.0,63880670.0
6273949.0,-22427.0,234050095.0,61430017.0
2694550.0,-1139630.0,234441685.0,64616882.0
5922045.0,778222.0,230736448.0,65488970.0
5186276.0,293573.0,232732138.0,64055420.0
4286141.0,-1470152.0,229679274.0,60396817.0
2927069.0,-3106326.0,231301901.0,62788090.0
5014538.0,-3172837.0,233936413.0,60309723.0
6299171.0,546348.0,233042480.0,61079970.0
8002935.0,2364395.0,232374158.0,60882992.0
2907045.0,4088361.0,232749678.0,60105247.0
5779083.0,-2024284.0,232672705.0,67100811.0
-25156.0,35329.0,231678635.0,61662985.0
5449069.0,-814677.0,234220658.0,63599919.0
